PID,    Name,                                          Type,             Access,         Device,                                                                    Size,
0x9F10, OP_CODE_POSI_POWER_PARAMETERS,                 OPCODE_TYPE_3_OW, ACCESS_TYPE_GS, OPCODE_DEVICE_DLE | OPCODE_DEVICE_F,                                         22,
0x9F20, OP_CODE_PSU_PARAMETERS,                        OPCODE_TYPE_3_OW, ACCESS_TYPE_GS, OPCODE_DEVICE_DLE | OPCODE_DEVICE_F,                                         10,
0x9F22, OP_CODE_PM_PARAMETERS,                         OPCODE_TYPE_3_OW, ACCESS_TYPE_GS, OPCODE_DEVICE_DLE | OPCODE_DEVICE_F,                                          3,
0x8603, OP_CODE_DSM_CONFIG,                            OPCODE_TYPE_3_OW, ACCESS_TYPE_GS, OPCODE_DEVICE_DLE | OPCODE_DEVICE_F,                                          3,
0x9F11, OP_CODE_REF_STRING_CURRENT,                    OPCODE_TYPE_3_OW, ACCESS_TYPE_GS, OPCODE_DEVICE_DLE | OPCODE_DEVICE_F,                                          2,
0x8030, OP_CODE_FIXTURE_FAILURE_CODE,                  OPCODE_TYPE_4_AS, ACCESS_TYPE_GS, OPCODE_DEVICE_PCC | OPCODE_DEVICE_DLE | OPCODE_DEVICE_F,                      1,
0x8050, OP_CODE_AVAILABLE_PARAMETERS_LIST_SIZE,        OPCODE_TYPE_4_AS, ACCESS_TYPE_GO, OPCODE_DEVICE_PCC | OPCODE_DEVICE_DLE | OPCODE_DEVICE_F,                      2,
0x8051, OP_CODE_AVAILABLE_PARAMETERS_LIST,             OPCODE_TYPE_4_AS, ACCESS_TYPE_GO, OPCODE_DEVICE_PCC | OPCODE_DEVICE_DLE | OPCODE_DEVICE_F,                     32,
0x860F, OP_CODE_DMX_FOOTPRINT,                         OPCODE_TYPE_4_AS, ACCESS_TYPE_GO, OPCODE_DEVICE_DLE | OPCODE_DEVICE_F,                                          1,
0x8206, OP_CODE_DEVICE_TEMPERATURE,                    OPCODE_TYPE_4_AS, ACCESS_TYPE_GO, OPCODE_DEVICE_PCC | OPCODE_DEVICE_DLE | OPCODE_DEVICE_F,                      6,
0x8207, OP_CODE_SESSION_TEMPERATURE_STATISTICS,        OPCODE_TYPE_4_AS, ACCESS_TYPE_GO, OPCODE_DEVICE_PCC | OPCODE_DEVICE_DLE | OPCODE_DEVICE_F,                     11,
0x8208, OP_CODE_LIFETIME_TEMPERATURE_STATISTICS,       OPCODE_TYPE_4_AS, ACCESS_TYPE_GS, OPCODE_DEVICE_PCC | OPCODE_DEVICE_DLE | OPCODE_DEVICE_F,                      5,
